id,title,body,expected_type,expected_priority,expected_labels
ISSUE-001,Crash on startup when opening the app,The application crashes on startup on macOS 14.\n\nSteps to reproduce:\n1. Install\n2. Launch\n\nExpected: app opens\nActual: crash dialog\nVersion: 2.0.0,bug,p0,"[""bug"", ""p0""]"
ISSUE-002,Data loss when saving configuration,"After saving, the config file becomes empty.\nThis looks like data loss.\nVersion: 1.9.1\nSteps to reproduce:\n1. Edit config\n2. Save",bug,p0,"[""bug"", ""p0""]"
ISSUE-003,Add support for exporting reports to PDF,It would be great to export the generated report as a PDF for sharing with stakeholders.,feature,p2,"[""feature"", ""p2"", ""enhancement""]"
ISSUE-004,README: installation command is outdated,"The README mentions `pip install .` but the recommended method should be `pip install -e "".[dev]""`.",docs,p2,"[""docs"", ""p2""]"
ISSUE-005,How do I enable the OpenAI-compatible adapter?,How do I configure the environment variables for the OpenAI adapter?,question,p2,"[""question"", ""p2"", ""needs-info""]"
ISSUE-006,Bug: CLI prints extra logs before JSON,"When running `triage-assistant triage`, I see debug logs before the JSON output.\nThis breaks piping into jq.",bug,p1,"[""bug"", ""p1""]"
ISSUE-007,Improve error message when body file is missing,"If `--body-file` points to a missing file, show a clearer message and non-zero exit code.",feature,p2,"[""feature"", ""p2"", ""enhancement""]"
ISSUE-008,Docs: fix typo in workshop module 01_setup,There is a typo: 'extenstion' should be 'extension'.,docs,p2,"[""docs"", ""p2"", ""good-first-issue""]"
ISSUE-009,Regression: priority is always p2 for bugs,"After the last change, bug issues are no longer prioritized as p1.\nSteps to reproduce:\n1. Run triage on a crash issue\n2. Observe priority=p2",bug,p1,"[""bug"", ""p1""]"
ISSUE-010,Question: what label taxonomy should we use?,"Do we have a standard set of labels for the workshop (bug/feature/docs/question, p0/p1/p2, etc.)?",question,p2,"[""question"", ""p2""]"
ISSUE-011,Security: possible command injection in adapter selection,"If adapter selection uses untrusted input, could it lead to command injection? Please review.",bug,p0,"[""bug"", ""p0"", ""security""]"
ISSUE-012,Add a local evaluation command for quick checks,Provide a `triage-assistant eval` command that runs a dataset and prints simple metrics.,feature,p2,"[""feature"", ""p2""]"
ISSUE-013,Bug: JSON schema command outputs invalid JSON,Running `triage-assistant schema` outputs something that can't be parsed by json.loads.,bug,p1,"[""bug"", ""p1""]"
ISSUE-014,Clarify how to run prompt files in VS Code,The workshop should explain how to invoke prompt files via `/` in the Chat view.,docs,p2,"[""docs"", ""p2""]"
ISSUE-015,Feature: add `--pretty` output option,Please add a `--pretty` flag so JSON is indented for humans.,feature,p2,"[""feature"", ""p2""]"
ISSUE-016,Bug: labels contain duplicates with different casing,Sometimes I see labels like `bug` and `BUG` together.,bug,p1,"[""bug"", ""p1""]"
